Disease,Description
idiopathic painful menstruation,"Idiopathic painful menstruation (dysmenorrhea) is a condition in which a woman experiences severe cramps and other symptoms during her menstrual cycle. The cause of this condition is unknown, but it can be treated. The symptoms of Idiopathic painful menstruation can include"
common cold,"Common cold, also known as a cold or rhinosinusitis, is a viral infection of the upper respiratory system that typically causes a runny nose, sore throat, cough, and sneezing. It is one of the most common infections, with symptoms that can range from mild to severe."
melanoma,Melanoma is a type of skin cancer that develops when melanocytes (the cells that make the pigment melanin) grow out of control. It is the most serious type of skin cancer because it can spread to other parts of the body. Melanoma most often occurs in the skin
pain after an operation,"Pain after an operation is a common and expected occurrence. It can range from mild discomfort to severe pain, and may persist for several days or weeks. There are a number of things you can do to help manage the pain, including:"
anemia due to chronic kidney disease,"Anemia due to chronic kidney disease (CKD) is a condition caused by low levels of red blood cells in the body. It is a common complication of CKD and can lead to fatigue, shortness of breath, and other symptoms. The anemia is often caused by the kid"
vaginal cyst,"A vaginal cyst is a benign mass of tissue that is surrounded by a sac of fibrous connective tissue. It is a common condition that can occur in women of any age, but is more common in women over the age of 40. The cyst can be either large or small and may"
dislocation of the knee,"A knee dislocation is a severe injury in which one or more of the bones in the knee joint are forced out of their normal positions. It can occur as a result of a high-energy trauma, such as a car accident or a fall from a height."
hypovolemia,"Hypovolemia is a condition characterized by a deficiency of bodily fluids, particularly blood plasma. It can occur due to excessive fluid loss, decreased fluid intake, or impaired fluid balance. Symptoms of hypovolemia include dizziness, lightheadedness, fat"
open wound of the chest,"An open chest wound is a condition in which the skin of the chest is penetrated or torn, causing an opening in the chest wall. This type of injury can occur as a result of trauma, such as a motor vehicle accident, a fall, or a stabbing. It can also occur during surgery, such as"
hepatic encephalopathy,"Hepatic encephalopathy is a condition of brain dysfunction caused by liver failure. It occurs when the liver is unable to remove toxins from the blood, which leads to a buildup of toxins in the brain and disrupts normal brain function. Symptoms of hepatic"
injury to the finger,"Injury to the finger can be caused by a variety of mechanisms, including falls, sports injuries, and workplace accidents. Symptoms may include pain, swelling, bruising, and difficulty moving the affected finger. Treatment options may include first aid measures such as rest, ice, compression, and elevation"
intracranial abscess,"Intracranial abscess is a serious infection that occurs within the brain or the tissue surrounding the brain. It is caused by a bacterial or fungal infection and can result from a variety of factors, such as head trauma, brain surgery, or a compromised immune system. Symptoms may include"
systemic lupus erythematosis (sle),"Systemic lupus erythematosus (SLE), also known as lupus, is a chronic autoimmune disease that occurs when the body's immune system attacks and damages its own tissues and organs. The disease can affect many different parts of the body, including the joints"
narcolepsy,"Narcolepsy is a neurological disorder that affects the brain's ability to regulate sleep-wake cycles. It is characterized by excessive daytime sleepiness, cataplexy (sudden loss of muscle tone), sleep paralysis, and hallucinations. The cause of narcolepsy"
drug abuse (cocaine),"Drug abuse (cocaine) is the harmful and destructive use of cocaine, a psychostimulant drug that is derived from coca leaves. It can be taken by various methods, such as snorting, smoking, or injecting. Cocaine is a powerful stimulant that"
vaginal yeast infection,"Vaginal yeast infection occurs when the fungus Candida albicans overgrows in the vagina. Symptoms include itching, burning, and soreness in the vagina. Causes include hormonal changes, use of antibiotics, and a weakened immune system. Treatment"
trichinosis,"Trichinosis is a parasitic disease caused by the consumption of undercooked or raw meat that contains the larvae of the Trichinella parasite. The larvae are microscopic worms that can cause inflammation, damage to the muscles, and other symptoms."
depression,"Depression is a common and serious medical illness that negatively affects how you feel, the way you think and how you act. Fortunately, it is also treatable. Depression causes feelings of sadness and/or a loss of interest in activities. The symptoms of depression can range from mild to severe and can include"
hashimoto thyroiditis,"Hashimoto's thyroiditis, also known as Hashimoto's disease, is an autoimmune disorder in which the body's immune system attacks the thyroid gland. The thyroid gland is a small, butterfly-shaped gland located at the base of the neck just below"
open wound of the back,"Open wound of the back is a type of wound that occurs on the back of the body, typically caused by an injury or trauma. The wound can range in size and severity, and may involve damage to the skin, muscle, or other tissues. Symptoms of an open wound of the back may include"
adjustment reaction,"Adjustment reaction is a condition that develops following a stressful event or situation. It is a normal response to a stressor, and is characterized by emotional and physical changes. Symptoms can include anxiety, fear, sadness, fatigue, sleep disturbances, and changes in appetite. Causes can include"
premature ovarian failure,"Premature ovarian failure (POF), also known as primary ovarian insufficiency, is a condition in which the ovaries stop functioning properly before the age of 40. It can lead to infertility and other hormonal imbalances. The exact cause of POF is"
endometriosis,"Endometriosis is a condition in which tissue that normally lines the inside of your uterus grows outside your uterus. Endometriosis most commonly involves your ovaries, fallopian tubes and the tissue lining your pelvis. Rarely, endometrial tissue may spread beyond pel"
menopause,"Menopause is the decline of ovarian function that accompanies natural aging, typically between 45 and 55 years of age, resulting in the cessation of menstruation. It is a natural condition that is not a disease."
vitreous degeneration,"Vitreous degeneration is a natural process that occurs as a person ages. The vitreous humor, a gel-like substance that fills the center of the eye, breaks down over time, leading to the formation of floaters and other visual distortions. This can cause blurred vision, difficulty"
venous insufficiency,"Venous insufficiency, also known as chronic venous insufficiency, is a medical condition in which the veins are not able to return blood to the heart efficiently. This can lead to swelling in the legs and ankles, skin changes, and leg pain or tiredness."
varicose veins,"Varicose veins are swollen and enlarged veins that typically appear on the legs and feet. They are caused by weak or damaged valves in the veins, which prevent blood from flowing properly back to the heart. This can lead to pooling of blood in the veins, which causes the"
brachial neuritis,"Brachial neuritis, also known as neuralgic amyotrophy or Parsonage-Turner syndrome, is a rare inflammatory condition that affects the nerves in the arms and legs. The condition is characterized by sudden arm or leg weakness, numbness, and tingling sens"
gas gangrene,"Gas gangrene, also known as clostridial myonecrosis, is a serious and potentially life-threatening bacterial infection that occurs when certain types of Clostridium bacteria (Clostridium perfringens, Clostridium septicum, or Clostrid"
threatened pregnancy,"Threatened pregnancy is a condition in which the fetus is not properly attached to the uterus and may be at risk of miscarrying. Symptoms of threatened pregnancy include vaginal bleeding, abdominal pain, and cramping. Causes of threatened pregnancy include trauma, infection, and horm"
atrophic skin condition,"Atrophic skin condition is a skin problem characterized by thinning and loss of skin tissue. It can occur due to several reasons, such as aging, sun exposure, genetics, or certain medical conditions. Symptoms of atrophic skin condition include wrinkles, sagging skin, and visible"
acne,"Acne is a common skin condition that occurs when hair follicles become clogged. It is characterized by the appearance of pimples, blackheads, and whiteheads on the face, chest, back, and shoulders. The exact cause of acne is not known, but it is believed to be a"
histoplasmosis,"Histoplasmosis is a fungal infection caused by breathing in spores of the fungus Histoplasma capsulatum. It is commonly found in soil contaminated with bird or bat droppings, especially in the central and eastern United States. Histoplasmosis can cause mild"
hirschsprung disease,"Hirschsprung disease is a birth defect that affects the nerves of the large intestine, causing stool to build up inside the intestine. It is also known as congenital aganglionic megacolon. In people with this condition, the nerves along the large intest"
heart attack,"A heart attack, also known as a myocardial infarction, occurs when the blood supply to the heart is suddenly blocked, usually by a blood clot. This can cause chest pain or discomfort, shortness of breath, nausea, and sweating. Heart attacks are a serious medical emergency"
adrenal adenoma,"Adenoma is a benign (non-cancerous) tumor that forms in an endocrine gland. The most common type of adenoma is one that forms in the pituitary gland, a pea-sized gland located at the base of the brain. The pituit"
poisoning due to analgesics,"Poisoning due to analgesics is a type of drug overdose that occurs when a person takes an excessive amount of pain-relieving medications, such as opioids, non-steroidal anti-inflammatory drugs (NSAIDs), and acetaminophen. These"
anemia,"Anemia occurs when the body does not have enough healthy red blood cells. Symptoms can include fatigue, weakness, pale skin, and shortness of breath. Causes can include blood loss, nutritional deficiencies, certain medications, and certain medical conditions. Treatments can include dietary changes"
fracture of the vertebra,"Fracture of the vertebra is a break in one or more vertebrae of the spine. The spine is made up of a series of bones called vertebrae, which are connected by discs. These discs act as shock absorbers and allow for flexibility in the spine. A fract"
aortic valve disease,"Aortic valve disease is a condition in which the aortic valve does not work properly. This valve is located between the left ventricle and the aorta, and it controls the flow of blood from the heart to the rest of the body. Aortic valve disease can be"
uveitis,"Uveitis is a condition that causes inflammation inside the eye. It can affect any part of the eye, including the iris (the colored part of the eye), the lens, and the eye fluid. Symptoms of uveitis can include eye redness, pain, sensitivity to light, blur"
ependymoma,"Ependymoma is a type of brain tumor that develops from cells that make cerebrospinal fluid. It is a slow-growing tumor that typically occurs in the lower part of the brain or in the spine. Symptoms may include headaches, seizures, blurred vision, and"
hypertrophic obstructive cardiomyopathy (hocm),"Hypertrophic obstructive cardiomyopathy (HOCM) is a cardiovascular condition that is characterized by the thickening of the heart walls, specifically the septum, which is the wall that separates the two chambers of the heart. This thickening can obstruct blood flow and"
hypoglycemia,"Hypoglycemia, also known as low blood sugar or insulin shock, is a condition where the level of glucose in the blood drops below the normal range. Glucose is the primary source of energy for the body and brain. When the level of glucose in the blood drops"
rosacea,"Rosacea is a chronic skin condition that causes redness and bumps on the face. It typically affects the cheeks, nose, chin, and forehead. The redness may be persistent or intermittent, and it may spread across the face. The bumps may be small and pus-filled or"
open wound of the cheek,An open cut or wound on the cheek.
uterine atony,"Uterine atony is a medical condition that occurs after childbirth and is characterized by a lack of muscular contractions in the uterus. This can lead to heavy bleeding after delivery, which can be dangerous for both the mother and the baby. Some common symptoms of uterine atony include heavy"
obstructive sleep apnea (osa),"Obstructive sleep apnea (OSA) is a common sleep disorder that occurs when the muscles in the back of the throat relax during sleep, causing the airway to become narrowed or blocked. This can result in snoring, breathing pauses, and reduced oxygen levels in the blood."
coronary atherosclerosis,"Coronary atherosclerosis is a condition where plaque builds up in the coronary arteries, which supply oxygen-rich blood to the heart muscle. This buildup of plaque can narrow the arteries, reducing blood flow to the heart and causing chest pain (angina) or"
balanitis,"Balanitis is the medical term for inflammation of the glans penis, the head of the penis. The glans penis is covered by a thin layer of tissue called the foreskin, which is sometimes retracted during sexual activity. Balanitis is a common problem in men, affecting about"
gonorrhea,"Gonorrhea is a sexually transmitted infection caused by the bacteria Neisseria gonorrhoeae. It can affect both men and women and may cause symptoms such as discharge from the penis or vagina, pain or burning during urination, sore throat, and swollen glands"
pneumonia,"Pneumonia is a lung infection that makes it hard to breathe. It is most common among children and the elderly. It is caused by bacteria, viruses, or fungi, which can spread through the air, such as through coughing or sneezing, or by contaminated water."
panic disorder,"Panic disorder is a type of anxiety disorder in which episodes of intense fear and discomfort occur without warning. These episodes, called panic attacks, are characterized by symptoms such as pounding heart, sweating, trembling, shortness of breath, and a feeling of impending doom. Panic disorder can be"
otosclerosis,"Otosclerosis is a bone disorder that affects the middle ear and causes hearing loss. It often occurs in people between the ages of 10 and 40, and is more common in women than in men. Otosclerosis is a condition in which the bones in the middle ear become too"
acute glaucoma,"Acute glaucoma is a sudden and painful increase in eye pressure that can lead to vision loss. It is a medical emergency and should be treated immediately. Symptoms may include severe eye pain, blurred vision, redness or halos around lights, nausea, and vomiting."
drug abuse (methamphetamine),"Drug abuse, also known as substance use disorder, is a patterned use of a drug in which the user consumes the substance in amounts or with methods which are harmful to themselves or others, and is a form of substance related disorder. It is a patterned use that leads to significant problems or distress. There"
acute respiratory distress syndrome (ards),"Acute respiratory distress syndrome (ARDS) is a type of lung injury in which inflammation and fluid buildup in the lungs make it hard for the body to get oxygen. It can be caused by a variety of conditions, including pneumonia, sepsis, trauma, and inhalation"
nasal polyp,"Nasal polyps are benign growths that develop from the lining of the nose. They are filled with mucus, debris, and inflammatory cells, and can cause nasal obstruction, loss of smell, and facial pain. Nasal polyps can be caused by allergies,"
sjogren syndrome,"Sjogren syndrome is an autoimmune disease in which the body's immune system attacks the glands that make tears and saliva. This leads to dry eyes and mouth. About 90% of people with sjogren syndrome also have another autoimmune disease, such as rheumat"
abdominal aortic aneurysm,"Abdominal aortic aneurysm (AAA) is a condition in which the lower part of the aorta, the main blood vessel that supplies blood to the entire body, becomes enlarged or swollen. The swelling can be due to a variety of factors, including age, smoking"
open wound of the eye,"An open wound of the eye, or corneal abrasion, is a scratch or cut on the surface of the cornea, the clear, front part of the eye that covers the iris and the pupil. The cornea plays a crucial role in focusing light and allowing clear vision. A corne"
floaters,"Floaters are small, semi-transparent specks or strings that appear to float in your field of vision. They are part of the vitreous humor, a gel-like substance that fills the space between your lens and your retina. Floaters are most noticeable when looking at a plain background,"
chronic otitis media,"Chronic otitis media is a condition that occurs when the middle ear becomes inflamed and infected over a long period of time. It can lead to hearing loss and other complications. Symptoms may include pain in the ear, drainage from the ear, hearing loss, dizziness, and fever. Treat"
marijuana abuse,"Marijuana use disorder is a condition in which a person develops a dependence on the drug marijuana. Symptoms of the disorder include a strong desire to use the drug, difficulty controlling use, and continued use despite negative consequences. Causes of the disorder are not fully understood, but genetics and environmental factors are thought"
poisoning due to anticonvulsants,"Poisoning due to anticonvulsants is a condition that occurs when a person ingests too much of an anticonvulsant medication. Anticonvulsants are drugs used to control seizures and other neurological disorders. These drugs can have serious side effects when taken in large doses,"
chronic back pain,"Chronic back pain is a condition that causes continuous or recurrent pain in the back that lasts more than three months. It affects the bones and muscles of the spine, causing stiffness, muscle spasms, and pain."
fracture of the facial bones,"Fractures of the facial bones (which include the jaw, cheek, nose, and eye sockets) occur when enough force is applied to the face to break one or more of the bones. The severity of the fracture may vary, depending on the extent of the break. A fracture of the facial"
dissociative disorder,"Dissociative disorder is a mental health condition that involves disruptions or breakdowns in the ways that the mind, body, and emotions work together normally. It typically occurs in response to trauma or other forms of stress, and can cause a range of symptoms, including memory loss, identity confusion, and a sense"
gallstone,"Gallstone is a condition where hardened deposits of digestive fluid form in the gallbladder. Gallstones can vary in size and may cause symptoms such as abdominal pain, nausea, and vomiting. Causes include a high-fat diet and obesity. Treat"
eating disorder,"Eating disorders are a group of mental health conditions that are characterized by abnormal eating habits and severe distress or concern about body shape or weight. There are several types of eating disorders, including anorexia nervosa, bulimia nervosa, binge-eating disorder, and other specified feeding or eating"
fracture of the skull,"A fracture of the skull, also known as a skull fracture, is a break in the bone of the skull. It can be caused by a blow to the head, such as from a fall or a car accident. Symptoms of a skull fracture can include headache, dizziness, n"
galactorrhea of unknown cause,"Galactorrhea refers to the abnormal production of breast milk in women who are not pregnant or breastfeeding. It can occur due to various reasons such as hormonal imbalances, medications, or certain medical conditions. The causes of galactorrhea can include problems with the pituitary"
sinus bradycardia,"Sinus bradycardia is a heart condition in which the heart rate is slower than normal, which is called bradycardia. The heart rate is generally defined as less than 60 beats per minute (bpm). This condition is harmless, and patients may not experience symptoms. Some patients with"
tinnitus of unknown cause,"Tinnitus, also known as ringing in the ears, is a condition in which a person hears a persistent noise that is not caused by a real external sound. The noise can range from a low roar to a high squeal, and can be heard in one or both ears. Tinnit"
hyperhidrosis,"Hyperhidrosis, also known as hyperhidrosis, is a condition in which a person sweats excessively and unpredictably. This condition can affect any part of the body, but the most common areas are the hands, feet, underarms, and face. Symptoms of hyperhidros"
open wound of the face,"An open wound of the face is a type of injury that occurs when the skin on the face is cut, scraped, or punctured. The wound can vary in size and depth, and may be caused by a variety of factors, such as falls, accidents, sports injuries, or surgical procedures. Sympt"
lumbago,"Lumbago, also known as lower back pain, is a common musculoskeletal condition that affects the lower back. It is characterized by pain or discomfort in the lower back, which can range from mild to severe. Lumbago can be caused by a variety of factors, including overuse or"
flu,"The flu, or influenza, is a contagious respiratory illness caused by influenza viruses. Symptoms can include fever, cough, sore throat, runny or stuffy nose, body aches, headache, chills, and fatigue."
conjunctivitis due to virus,"Conjunctivitis is an inflammation of the conjunctiva, the thin, transparent layer of tissue that covers the front of the eye and the inside of the eyelid. It is a common condition that can be caused by viruses, bacteria, or allergies. Symptoms of conjunct"
sickle cell crisis,"Sickle cell crisis is a complication of sickle cell disease that occurs when sickle cells in the blood block the flow of blood through the blood vessels. This can cause severe pain, organ damage, and other health issues."
postoperative infection,"Postoperative infection is a bacterial or fungal infection that develops after a surgical procedure. It can occur in any part of the body where the surgery was performed, such as the wound, lungs, urinary tract, bloodstream, or brain. The symptoms of postoperative infection can vary depending on"
friedrich ataxia,"Friedreich ataxia is a genetic disorder that affects the nervous system, causing progressive damage to nerve cells in the spinal cord and brain. The condition is characterized by impaired movement, coordination, and balance, as well as difficulty with speech and swallowing. Friedreich ataxia is caused by a"
cerebral palsy,"Cerebral palsy is a neurological disorder that affects muscle tone, movement, and coordination. It is caused by damage to the brain, most often before birth. Symptoms can vary widely, but may include stiff or floppy muscles, difficulty with coordination and balance, and problems"
lateral epicondylitis (tennis elbow),"Lateral epicondylitis (tennis elbow) is a painful condition that affects the outside of the elbow. This condition occurs when tendons in the forearm are overworked, usually by repetitive motions of the wrist. Symptoms include pain on the outside of the elbow, weakness, and difficulty"
malaria,"Malaria is a serious and sometimes fatal disease caused by a parasite that is transmitted to people through the bites of infected mosquitoes. It is a major health problem in many parts of the world, particularly in sub-Saharan Africa. Malaria is caused by a parasite called Plas"
retinal detachment,"Retinal detachment is a condition in which the retina becomes detached from its normal position at the back of the eye. This can occur as a result of injury, inflammation, or a change in the structure of the eye. Symptoms of retinal detachment may include a sudden onset of"
head and neck cancer,"Head and neck cancer is a type of cancer that develops in the oral cavity, pharynx, or larynx. It is most common in people over the age of 50, but can occur at any age. Symptoms of head and neck cancer may include a lump or sore in"
heart failure,"Heart failure is a condition in which the heart cannot pump enough blood to the rest of the body. Symptoms of heart failure can include shortness of breath, fatigue, swelling in the legs and feet, and irregular heartbeat. Causes of heart failure can include high blood pressure, coronary"
metastatic cancer,"Metastatic cancer, also known as secondary cancer or metastasis, is a term used to describe cancer that has spread to other parts of the body. It occurs when cancer cells break away from the primary tumor and travel through the blood or lymphatic system to form new tumors in other organs"
peritonitis,"Peritonitis is an inflammation of the peritoneum, the thin lining of the abdominal wall that covers the abdominal organs and creates a cavity that holds abdominal fluids. It is caused by an infection of the peritoneal cavity, which can"
chronic inflammatory demyelinating polyneuropathy (cidp),"Chronic inflammatory demyelinating polyneuropathy (CIDP) is a rare disease that causes inflammation of the peripheral nerves, which can lead to weakness and numbness in the arms and legs. It is a progressive condition that affects about 2 people per 1"
paroxysmal ventricular tachycardia,"Paroxysmal ventricular tachycardia is a rare type of abnormal heart rhythm that starts in the lower chambers of the heart (ventricles) and can be life-threatening if it is not treated. It is a type of ventricular tachycardia,"
actinic keratosis,"Actinic keratosis (AK) is a skin condition that develops from years of accumulated sun damage. AK is the first stage of sun-induced skin cancer. This condition commonly develops on the face, head, and neck, as these areas are more exposed to the sun. Sympt"
injury to the trunk,"Injury to the trunk is a common occurrence that can result from a variety of causes, including accidents, falls, sports injuries, and violence. Symptoms of a trunk injury can vary depending on the severity and location of the injury, but may include pain, swelling, bruising, tenderness"
chronic rheumatic fever,"Chronic rheumatic fever is a form of rheumatic heart disease that is caused by streptococcus A bacteria. It develops after an infection and occurs due to the body forming antibodies against the bacteria. It can affect any part of the heart, including the valves and the"
postpartum depression,"Postpartum depression is a type of depression that can occur after giving birth. It is a common condition, affecting around 10-15% of women after childbirth. Symptoms of postpartum depression can include feelings of hopelessness, sadness, and anxiety, as well as loss"
oral leukoplakia,"Oral leukoplakia is a condition that causes white patches or spots (plaques) on the inside of the mouth. The patches can occur on the tongue, cheeks, gums, or floor of the mouth. Although it is often harmless and benign, in some cases, oral leuk"
pelvic fistula,"Pelvic fistula is a condition in which an abnormal connection (fistula) forms between two organs or structures in the pelvis, such as the bladder and the vagina. It can occur after childbirth, surgery, or other traumatic events in the pelvic"
viral warts,"Viral warts are caused by skin contact with the human papillomavirus (HPV), which commonly infects the skin. Due to the sensitivity of the skin on the genitals, the virus can thrive in this environment, causing warts to develop. Transmission of the virus can occur through sexual contact"
thyroid nodule,"Thyroid nodules are small growths or lumps that develop on the thyroid gland, which is located in the neck. The thyroid gland produces hormones that regulate the body's metabolism and energy levels."
arrhythmia,"Arrhythmia is a condition that occurs when the heart beats too fast, too slow, or irregularly. It can be caused by underlying medical conditions such as heart disease, high blood pressure, or thyroid problems. Symptoms of arrhythmia may include palpitations, dizziness, short"
prostate cancer,"Prostate cancer is a type of cancer that affects the prostate gland, which is a small walnut-sized gland located below the bladder in men. The prostate gland produces seminal fluid, which helps to nourish and protect sperm. Prostate cancer is the most common type"
foreign body in the gastrointestinal tract,"Foreign body in the gastrointestinal tract is a condition where an object becomes lodged in the digestive tract, causing obstruction and potential complications. The object can be anything from a piece of food to a toy or button. Symptoms of a foreign body in the gastrointestinal tract"
itching of unknown cause,"Itching of unknown cause is a condition that is characterized by excessive itching of the skin without any known cause. The itching may be localized to a specific area of the body or it may occur all over the body. It is important to note that the itching may be related to an underlying medical condition,"
breast infection (mastitis),"Breast infection (mastitis) is a bacterial infection of the breast tissue that can occur in breastfeeding mothers. It is characterized by breast pain, swelling, redness, and warmth. The infection can be caused by bacteria that enter the breast through a cracked nipple or a break in"
juvenile rheumatoid arthritis,"Juvenile rheumatoid arthritis (JRA) is an autoimmune disease that affects children. It causes inflammation in the joints, which can lead to pain, stiffness, and swelling. Symptoms of JRA can vary from child to child, but"
myasthenia gravis,"Myasthenia gravis is a chronic autoimmune neuromuscular disease in which the immune system attacks the nerve-muscle junction. Symptoms include muscle weakness, especially in the face, eyelids and limbs, and difficulty swallowing and breathing. Causes include a combination of genetic"
wernicke korsakoff syndrome,"Wernickeâ€“Korsakoff syndrome (WKS) is a neurological disorder that can result from a deficiency of thiamine (vitamin B1), often associated with alcoholism. It produces a combination of brain damage (encephalopathy) and memory loss ("
dengue fever,"Dengue fever is a mosquito-borne viral infection that can cause a severe flu-like illness. Symptoms may include high fever, headache, vomiting, muscle and joint pain, and a rash. Recovery generally takes several days to a week. The primary cause is infection with"
corneal abrasion,"Corneal abrasion is a scratch or scrape on the clear, protective outer layer of the cornea. It can be caused by a foreign object such as a fingernail, a piece of dirt, or debris in the eye. Symptoms include pain, redness, and tearing. Treat"
congenital malformation syndrome,"Heritable disorders of connective tissue are a heterogeneous group of disorders that affect connective tissue, and are associated with mutations in genes that encode connective tissue proteins. They include heritable disorders of collagen and elastin, and disorders of extracellular matrix production. They are clinically heter"
testicular disorder,"Testicular disorder is a medical condition that affects the male reproductive system. It can cause pain, swelling, and other symptoms, and may lead to fertility problems. Treatment options may include surgery, medication, or lifestyle changes."
vasculitis,"Vasculitis is a general term for a group of diseases that involve chronic inflammation of the blood vessels. It can affect any type of blood vessel in the body, but typically affects the small or medium-sized vessels. The inflammation can cause damage to the vessel walls, leading to a variety of"
septic arthritis,"Sepsis is a life-threatening condition that results from overwhelming infection. The organisms responsible are often bacteria, but sometimes they are virus, fungi or parasites. It is most common in infants, the elderly and those with weak immune systems. Symptoms include fever, chills, rapid"
spontaneous abortion,"Spontaneous abortion, also known as miscarriage, is the spontaneous ending of a pregnancy before the fetus is viable. It is a common pregnancy complication, with an estimated 10-20% of all recognized pregnancies ending in abortion. Spontaneous abortion can occur in the first tr"
croup,"Croup is a respiratory infection that mainly affects young children. It is caused by a virus that inflames the voice box and windpipe, making it difficult to breathe. Symptoms include a barking cough, a hoarse voice, and a high temperature. It is important to seek medical attention if your"
kidney failure,"Kidney failure, also known as renal failure, is a condition that occurs when the kidneys are no longer able to filter waste products and excess fluids from the blood. This can lead to a buildup of toxins in the body, which can be life-threatening."
esophageal varices,"Esophageal varices are dilated blood vessels in the esophagus that can cause bleeding. They occur due to chronic liver disease, which can lead to high pressure in the portal vein, the vein that brings blood from the stomach and intestines to the liver. This high pressure causes blood"
fracture of the rib,"A fracture of the rib is a break or crack in one or more of the bones that make up the rib cage. It can be caused by a direct impact, such as falling on the side of the body or being hit in the chest, or by a sudden force, such as coughing or sneezing"
panic attack,"A panic attack is a sudden, intense feeling of fear or anxiety that can cause severe physical and emotional symptoms. Panic attacks can be triggered by a variety of factors, including stress, anxiety, and certain medications. Symptoms of a panic attack can include:"
subarachnoid hemorrhage,"Subarachnoid hemorrhage is a type of stroke that occurs when a blood vessel in the brain bursts, causing blood to leak into the space between the brain and the tissue that covers it (the subarachnoid space). This can lead to a sudden and severe headache, nause"
gastroparesis,"Gastroparesis is a disorder in which the stomach muscles do not work properly, leading to delayed emptying of the stomach. This can cause nausea, vomiting, bloating, and discomfort. Symptoms may include: heartburn, reflux, early feeling of fullness, ab"
kidney disease due to longstanding hypertension,"Kidney disease due to longstanding hypertension is a condition in which the high blood pressure (hypertension) damages the kidneys over time. Hypertension can lead to narrowing and hardening of the blood vessels in the kidneys, reducing blood flow to the kidneys and causing them to lose"
injury to the arm,"Injury to the arm can result from various causes, such as falls, sports injuries, accidents, or repetitive stress. Symptoms may include pain, swelling, bruising, tenderness, or numbness in the arm. Treatment typically involves rest, ice, compression, and elevation of"
iron deficiency anemia,Iron deficiency anemia is a condition that occurs when the body does not have enough iron. Iron is a mineral that the body needs to make red blood cells. Red blood cells carry oxygen from the lungs to all parts of the body. Iron deficiency anemia can make you feel tired and weak.
hpv,"Human papillomavirus (HPV) is the most common sexually transmitted infection. There are more than 100 different types of human papillomavirus (HPV). Some types of HPV cause warts on the hands, feet, or genital area. Other types of HPV"
drug poisoning due to medication,"Drug poisoning due to medication is a medical condition that occurs when a person takes an overdose of medication. This can happen accidentally, through misuse or abuse of prescription drugs, or intentionally as an attempt at suicide."
food allergy,"Food allergies are a type of immune system reaction to specific proteins in food that causes an allergic reaction. Symptoms can vary from mild to severe and may include hives, swelling, difficulty breathing, or a severe reaction called anaphylaxis. Anaphylaxis is a life-th"
bursitis,"Bursitis is an inflammation of the bursae, small fluid-filled sacs that act as cushions between the bones and soft tissues in areas such as the elbow, hip, knee, and shoulder. The bursae reduce friction between the bones and the soft tissues, helping to"
mumps,"Mumps is an infectious disease caused by a virus that usually affects children. It is characterized by fever, swollen glands, and a distinctive swelling of the cheeks and jaw known as parotitis. Mumps can also cause meningitis (inflammation of the brain and spinal cord), p"
ectopic pregnancy,"Ectopic pregnancy is a serious medical condition that occurs when the embryo implants and grows outside of the uterus, usually in the fallopian tubes. This can be a life-threatening situation if not treated promptly."
fracture of the pelvis,"Pelvic fractures are a common traumatic injury that can occur due to various causes such as motor vehicle accidents, sports-related injuries, falls, and direct blows to the pelvis. These fractures can cause severe pain, difficulty walking, and other symptoms. Treatment typically involves surgery to stabil"
herpangina,"herpangina is a viral infection that causes ulcers in the mouth and throat. The virus is usually spread through droplets from the nose or mouth of an infected person. Symptoms can include fever, sore throat, and pain in the throat. Treatment typically includes rest, pain relief medication,"
alcohol abuse,"Alcohol abuse, also known as alcohol use disorder, is a pattern of excessive or compulsive alcohol consumption that leads to impaired control, social problems, and health issues. It is characterized by a persistent and compulsive need to drink alcohol, even when it causes negative consequences in the individual's life."
tietze syndrome,"Tietze syndrome, also known as costochondritis, is a condition that causes inflammation and pain in the cartilage that connects the ribs to the breastbone (sternum). The typical symptoms of Tietze syndrome include swelling, tenderness, and pain around the stern"
hyperkalemia,"Hyperkalemia is a condition in which the concentration of potassium in the blood is higher than normal. Potassium is an essential mineral that is important for many vital functions in the body, including muscle contraction, nerve function, and heart rhythm."
stenosis of the tear duct,"Stenosis is a narrowing of an organ or a passageway. It can occur because of scarring, inflammation, or birth defects. Stenosis of the tear duct can interfere with the normal flow of tears and may lead to dry eyes. The symptoms of stenosis of"
hammer toe,"Hammer toe is a condition in which a toe becomes bent downward instead of pointing forward. The toe can rub on other toes or on the top of shoes, causing pain and corns. Treatment options include changing footwear, using padding, or surgery."
hemochromatosis,"Hemochromatosis is a condition caused by the excessive absorption of iron from the food you eat. The iron builds up in your body, which can damage your cells, tissues, and organs."
pulmonary congestion,"Pulmonary congestion, also known as pulmonary edema, is a condition in which fluid accumulates in the lungs, causing symptoms such as shortness of breath and cough. It can occur due to various causes, including heart failure, pneumonia, and cirrhosis. The fluid build"
spinal stenosis,"Spinal stenosis is a narrowing of the spinal canal that puts pressure on the spinal cord and nerves. It can be caused by a variety of factors, including bone spurs, herniated discs, and thickened ligaments. Symptoms can include pain, numbness, t"
premature atrial contractions (pacs),"Premature atrial contractions (PACs) are extra heartbeats that begin in the atria, the upper chambers of the heart. They are also known as premature atrial complexes (PACs). PACs are common, and most of the time, they do not cause"
